Serial,Role,Input,RoleRef,Probability Distribution
195,Software Developer,us february 2017 amazon ebay keeps february 2019 to april 2019 analyze create november 2018 to february 2019 analyze convert psd education associate in front end developer telerik academy october 2017 to november 2018 financial control external audit d a tsenov academy of economy september 2011 to july 2012 bachelor s in public administration university of national and world economy september 1 year 1 year javascript 1 year 1 year 1 year adobe photoshop 1 year less than 1 year javascript july 2019 microsoft certification id 17595988 programming visual studio front end developer telerik academy bulgaria europe october 2018,Software Developer,"{7: 0.8461538461538461, 9: 0.15384615384615385}"
196,Software Developer,winter park fl authorized us altamonte springs fl june 2018 python flask converting raw sql develops graduate teaching assistant university of central florida orlando january 2017 to december 2018 doubt sessions taught oops concepts front end july 2017 directives services use bootstrap shared css media queries perform education master s computer science university of central florida orlando august 2016 may 2018 bachelor s computer science university institute of technology august may 2015 skills git hadoop angularjs hadoop java sangeetasati additional information skills technologies python java mac ubuntu windows,Software Developer,"{2: 0.07692307692307693, 5: 0.9230769230769231}"
197,Software Developer,kennesaw state university august 2018 to july 2019 campus services kennesaw state utilized photoshop illustrator indesign premiere front end maxi healthcare services inc july 2015 to july 2019 conceptualized constructed adobe dreamweaver bootstrap june 2017 to august 2017 education bachelor s august 2015 to july 2019 skills front end javascript ui css3 angular front end node adobe graphic design photoshop indesign acrobat typography dreamweaver greeting motion print production links may 2015,Software Developer,"{4: 0.07692307692307693, 7: 0.38461538461538464, 9: 0.5384615384615384}"
198,Software Developer,shutterfly red wood city ca california city ca 5 years java javascript python experience javascript jquery ajax experience ui variables mixins nesting functions bootstrap ui react experience react 16 dom react hoc store actions reducers immutable update patterns async actions http jquery crud node npm react express babel webpack xml dom parser apache tomcat amazon web services windows linux ubuntu worked ide eclipse visual studio code pycharm sublime prettier postman jest agile waterfall work experience shutterfly red wood city ca july 2018 react router action reducer and store worked thunk developed mern javascript mvc write bootstrap react jsx react ui react react promise enzyme react used mongodb atlas schema node crud used axios node js express node js express cavirin inc santa clara ca december 2017 to june 2018 javascript jquery designed css box bootstrap dom debugged used javascript jquery keyboard navigation javascript the user interface node crud huoyun tech january 2013 to february 2016 python beautiful soup xpath python javascript jquery keyboard navigation javascript pagination education master of science in electrical and computer engineering in electrical and computer engineering university of california irvine ca bachelor of engineering in information engineering in information engineering southeast university skills visual webpack json python eclipse java ajax mysql jira,Software Developer,"{2: 0.07692307692307693, 7: 0.9230769230769231}"
199,Software Developer,albany ny authorized us october 2018 ge global research center react js use fetch react js api s react js built back end run python oomdo llc albany ny june 2016 front end april 2016 javascript april 2014 may 2014 april 2014 august 2011 to july 2012 july 2012 freelance daigle cleaning systems inc december 2011 to january 2012 business card triple sin clothing owner created education bachelor s september 2008 to april 2012 august 2019 additional information computer skills skills photoshop illustrator indesign html css javascript,Software Developer,"{5: 0.07692307692307693, 6: 0.07692307692307693, 7: 0.46153846153846156, 9: 0.38461538461538464}"
200,Software Developer,ace plumbing and rooter inc daly city ca authorized us work experience ace plumbing and rooter inc san francisco ca 2016 san francisco bay area web coordinator russia 2006 to 2008 russia about two years education codify academy san francisco ca 2016 skills adobe less than 1 year less than 1 year 3 years marina,Software Developer,"{1: 0.07692307692307691, 7: 0.46153846153846145, 8: 0.23076923076923073, 9: 0.23076923076923073}"
201,Software Developer,us 2019 march 2016 to august 2019 call center ensure education bachelor of science keiser university orlando fl 2011,Software Developer,"{1: 0.23076923076923078, 6: 0.07692307692307693, 7: 0.07692307692307693, 8: 0.07692307692307693, 9: 0.5384615384615384}"
202,Software Developer,us july 2019 september 2012 may 2019 intro programming songwriter recording engineer 2010 startup santa clara ca 2013 bachelor s august 2006 to december 2010 5 4 years css3 5 years 2 years 5 years less than 1 year less than 1 year less than 1 year less than 1 year 5 years 5 years 7 years 1 year 4 years user interface front end less than 1 year less than 1 year 7 years 1 year pwa 1 year less than 1 year less than 1 year march 2019 july 2019 july 2019 july 2019 july 2019 microsoft july 2019 microsoft excel pivottables july 2019 english july 2019,Software Developer,"{7: 0.7692307692307693, 9: 0.23076923076923078}"
203,Software Developer,april 2018 millions of dollars robert yarborough april 2017 the spa health april 2017 to november 2017 samsung health learning react and react native bonnie eisenmann vasan subramanian senior front end july 2016 to march 2017 javascript javascript node september 2014 to september 2016 park slope media inc aifs april 2016 real capital analytics september 2015 december 2015 zola books inc april 2015 to september 2015 macys august 2014 to november 2014 native javascript oop json ajax examples of work path interactive november 2013 to february 2014 daily created ajax php mysql wordpress cms responsive design www zagat com blue bite llc 2014 2014 2014 iris nation worldwide april 2012 june 2012 xhtml jquery examples of work 102841983145043 www veet sony xperia unleashed campaign uk metroclick november 2011 february 2012 used wordpress php mysql fireworks software worked front end michael c fina october 2012 to september 2013 javascript lead front end developer examples of april 2011 to november 2011 front end february 2009 april 2011 negotiated corp to corp education flatiron school specialty school 2015 2007 2009 skills javascript node links robert yarborough com additional information expertise web development javascript object oriented and functional current node js npm express framework php,Software Developer,"{4: 0.07692307692307693, 7: 0.6153846153846154, 9: 0.3076923076923077}"
204,Software Developer,fox digital consumer group los angeles ca work experience senior front end fox digital consumer group los angeles ca february 2018 world cup the world cup created cta foxsports third adidas created google amp mobile pages seo third third april 2016 to march 2017 qa third castlabs digital rights management drm implemented owasp injection cross site scripting cross site request forgery csrf github microsoft cloud web app akamai akamai prerender seo senior front end december 2013 to april 2016 user interface ui us brazil mexico thinkanalytics thinkanalytics third adobe analytics omniture sitecatalyst january 2013 to june 2013 ui sony s ui asp net lead net consultant universal music group santa monica ca october 2012 to january 2013 umg third sql 2008 asp net may 2012 to august 2012 asp net jquery css jquery ui december 2011 to april 2012 java ldap ssl asp net ajax third su third march 2011 to september 2011 wcf gathered awards april 2010 to january 2011 the ad monetization team i third google adx gfeed afc afs fan fox audience network google monetization c asp net javascript xml html third microsoft myspace education computer wcf php python java mvc knockout react front end css3 links 10 years agile scrum kanban waterfall experienced third passionate notable technical skills mvc java sql linq php c c python wcf jquery knockout,Software Developer,"{5: 0.15384615384615385, 7: 0.6153846153846154, 8: 0.07692307692307693, 9: 0.15384615384615385}"
205,Software Developer,johnson johnson princeton analysis designing developing integrating implementing web xhtml javascript angular angular5 web design the web content firebug ie tester design handlebar lodash expertise svn github team foundation web services ajax xml performed jasmine karma qa experience the user interface mvc controller expertise xml json ajax expertise angular5 cross browser compatibility javascript angular5 template data binding developed angular5 babel angular cli creating typescript angular johnson johnson bridgewater security ad pangea java micro restful api s api ui read write angular5 typescript nodejs susy tridion dom native js jquery node ui nodejs grunt javascript jquery state management ajax jquery json xml xml json apache ant maven used grunt used ui modified code ie firefox chrome safari javascript environment planet angular5 angular johnson johnson bridgewater july 2017 february 2018 description mensen agile scrum angular angular view controller mvc single page adobe cq content management system cms third lodash worked jasmine karma spring mvc api svn day grunt used atlassian jira johnson johnson bridgewater january 2017 to june 2017 ux mobility sap audit highcharts analysis designing developing integrating implementing javascript angular5 typescript nodejs angular angular angular sap angular node js tridion cors tridion followed the ci daily followed agile methodology safari firefox ie october 2015 to december 2016 employee self service ui applications hr records for various employees involved session facade stateless ejb 2 0 sdlc business requirement document gui jsp javascript pseudo pseudo xhtml xml css mysql javascript ajax servlets apache struts jsp javascript the action servlet web services ajax xml designed jsp javascript xhtml css developed javascript worked cross browser environment java web javascript ajax eclipse june 2014 may 2015 responsibilities building bootstrap grid bootstrap jquery json xhr ajax mvc creating cross bootstrap javascript javascript ajax ui facilitated user testing json json environment html css sass notepad sublime hyderabad february 2013 may 2014 jquery dom user interface jquery ajax json involved web services ajax xml ui javascript ie firefox javascript toolbar firebug ui javascript ajax javascript json javascript participate the scrum methodology worked javascript safari chrome firefox ie ajax mvc grunt bower npm apache tomcat education bachelor s engineering amrita university masters long island university 5 years 5 years 5 years javascript framework cms tridion cms,Software Developer,"{2: 0.15384615384615385, 7: 0.7692307692307693, 9: 0.07692307692307693}"
206,Software Developer,sr ui sr ui angular united health group united health group november 2015 angular 5 jquery drag javascript angular 5 typescript angular ux web application used restful maintained css javascript framework angular ui adobe photoshop illustrator indesign developed s api tdd angular angular 2 6 angular npm javascript jquery for functionality developed ui angular gitlab apache cordova javascript mobile javascript angular js debug nodes dom mobile applications javascript presentation bootstrap angular js jquery javascript karma jasmin ui html dom json ajax karma jasmin environment august 2014 to october 2015 description cvs health plan angular2 4 services api s because of angular js angular js typescript typescript perl concatenate js grunt webpack typescript javascript yeoman bower npm express angular express jasmine karma designing tagging user creation aem aws jenkins dockers nginx jira javascript webpack yeoman babel visual studio front end morgan stanley chicago il january 2012 to july 2014 angular xhtml css3 ajax angular 2 angular es6 bootstrap angular json rxjs observables designed user interfaces angular followed agile methodology daily git implement services input npm icons adobe flash photoshop interact java spring sql db2 mongodb nosql june 2011 january 2012 chase the united states canada march 2010 may 2011 digitalmojo fortune 500 xhtml the w3c standards ui xhtml ui ui business units javascript converted xhtml ajax json improved followed mvc structure application handling cross ie firefox safari state management java script javascript ajax education bachelor of technology computer science massachusetts institute of technology angular backbone js batarang java frameworks jsp jdbc design patterns atg 2010 grunt gulp sql mssql shell,Software Developer,"{2: 0.07692307692307693, 7: 0.6923076923076923, 9: 0.23076923076923078}"
207,Software Developer,cole january 2018 present support the store management cole cole february 2018 to february 2019 ruby ruby stripe amazon web services aws built the google maps api multiplica boca april 2018 to june 2018 optimization development ui optimization trushield royal caribbean celebrity cruises apple foreyes coded javascript ui asana monetate google optimize analytics adobe wyncode academy miami fl august 2017 to february 2018 bsa analyst helm bank usa miami july 2016 may 2017 bsa bank kyc kyc monthly kyc other proficiencies microsoft office compliance science august 2017 bachelor of arts florida state university may 2015 2 years 2 years 3 2 years 2 years,Software Developer,"{2: 0.07692307692307693, 6: 0.07692307692307693, 7: 0.5384615384615384, 8: 0.07692307692307693, 9: 0.23076923076923078}"
208,Software Developer,6 yr ecma es6 strong javascript ajax react js redux product management react js angular jasmine api karma mocha git for github sdlc requirement analysis implementation restful web services ajax grunt js gulp highly helpful work experience senior front end engineer client january 2019 verizon communications verizon wireless the united states verizon verizon verizon sim card the business angular the referral code reviewed jsx ecma es6 senior front end engineer client intuit san diego ca july 2017 to january 2019 intuit inc intuit turbo tax quickbooks projects widget helpsystem contact us intuit turbotax converted design dom cross angular reviewed karma used restful web services json participating intuit jira environment html5 css3 jsx ecma es6 kaiser permanente pleasanton ca april 2016 to june 2017 oakland ui kaiser kms projects coverage ui react js angular js javascript html5 css3 bootstrap ajax the rest api babel jsx javascript es6 to es5 karma jasmine used restful web services json agile scrum api express js javascript react jsx ecma es6 javascript node js inc hyderabad january 2013 to december 2015 jquery scripting effective use less sass preprocessor worked github ci grunt gulp directives templates angular template directives developed javascript javascript xml javascript screens education bachelor s august 2010 to april 2014 skills git 3 years 3 years 2 years 6 years 3 years css3 2 years 3 years 3 years java,Software Developer,"{7: 0.7692307692307693, 9: 0.23076923076923078}"
209,Software Developer,asp net core jquery bootstrap stack roles mvc a master s degree february 2019 present faradis alborz company dfa vsat first iran 2004 payment systems kiosk terminals dfa irma atm net core mvc implement atm docker leaflet february 2019 mellat bank 2005 3 months january 2016 to december 2018 mobinnet telecom co iran asp net core bootstrap4 css3 jquery asp net core tehran institute of technology may 2013 to january 2016 march 2011 to april 2013 develop asp net 2013 2015 bs degree in software engineering in software engineering sadra university 2007 to 2009 2005 2007 net 4 years 5 years 7 years 7 years back end 10 years 4 years c 8 years 1 year 10 years less than 1 year 2 years 3 years 4 years less than 1 year 5 years 2 years 2 years asp net core 1 year persian approach 2016 persian persian persian 1928 1980 1982 persian,Software Developer,"{7: 0.5384615384615384, 9: 0.46153846153846156}"
210,Software Developer,years us june 2018 collaborate standardui october 2014 alexander clifton july 2015 to june 2018 assist branford hall career institute august 2012 to december 2015 assist august 2011 to august 2012 october 2006 to september 2009 matthewdearaujo,Software Developer,"{1: 0.38461538461538464, 2: 0.07692307692307693, 4: 0.07692307692307693, 6: 0.15384615384615385, 7: 0.15384615384615385, 8: 0.07692307692307693, 9: 0.07692307692307693}"
211,Software Developer,december 2018 silicon valley react js semantic ui javascript collaborate maintop events team mobile marketing association september september daily update entertainment fort lauderdale december 2015 to september 2017 day handled analyzed daily weekly monthly memorabilia super bowl july 2013 to december 2015 broward college fort lauderdale fl 2016 skills time git html additional information skills proficient in react git github knowledgable node,Software Developer,"{1: 0.38461538461538464, 2: 0.07692307692307693, 5: 0.07692307692307693, 6: 0.07692307692307693, 7: 0.15384615384615385, 8: 0.07692307692307693, 9: 0.15384615384615385}"
212,Software Developer,us november 2017 ohio midwest erie metroparks huron oh may 2016 port clinton december 2015 may 2016 technical new hope church june 2012 to june 2014 formulated shifted outlook to google implemented mac rebuilt skills used audio visual production technician may 2011 may 2012 skills used audio visual production technical education high school diploma calvary baptist academy 2004 2007 skills graphic design adobe marketing,Software Developer,"{2: 0.07692307692307693, 7: 0.5384615384615384, 8: 0.07692307692307693, 9: 0.3076923076923077}"
213,Software Developer,python node scrum flask sql alchemy orm http authentication and authorization using oauth2 typescript es6 express serverless aws lambda react mocha chai jest august 2018 serverless architecture aws dynamodb cloudfront aws cognito s3 lambda node react d3 charts cognito aws amplify responsible python implement mocha chai developer dealerclick software irvine ca july 2018 to august 2018 angular april 2017 may 2018 web programming teach javascript es6 train csuf fullerton ca april 2017 to december 2017 regression karnataka august 2015 to may 2016 india designed oracle s responsys interact designed litmus javascript education master of science in computer science california state university fullerton fullerton ca 2016 2018 2011 2015 skills visual android c firebase git html javascript bootstrap python ajax asp css asp responsys android sass sockets sass pug handlebars programming environments eclipse android net express javascript mongo db sqlite postgresql chai jest,Software Developer,"{2: 0.07692307692307693, 7: 0.9230769230769231}"
214,Software Developer,new york july 2018 to march 2019 february 2015 to september 2016 hennessy snickers porsche spec senior graphic designer daily brooklyn august 2012 to 2015 intern kinetic new york ny january 2010 may 2011 graphics build october 2010 to june 2012 skills illustrator photoshop html css ux xml links www schuylerholman,Software Developer,"{7: 0.46153846153846156, 9: 0.5384615384615384}"
215,Software Developer,freelance web development freelance web development colin colin agile scrum colin node sql january 2014 site development consulting social google apps payment data systems inc san antonio april 2018 to july 2019 enrollment image displaying january 2017 to february 2018 experiential design web developer and consultant june 2016 to september 2016 seo september 2014 to june 2016 signet interactive develop followed variety professional august 2009 php ajax css ecommerce ui,Software Developer,"{7: 0.6153846153846154, 9: 0.38461538461538464}"
216,Software Developer,consultant front end may 2016 to june 2019 oracle web center preformed uat july 2015 may 2016 user july 2014 to march 2015 dante inc dante dante dante monthly dante october 2013 may 2014 adobe creative suite utilized mcms mcms norfolk state university public broadcasting station norfolk va march 2010 may 2012 wnsb norfolk state university norfolk va the federal communication commission lead graphic designer adobe creative suite completed freelance 2010 may 2014 javascript wordpress processed june 2013 norfolk va may 2012 skills information user wordpress illustrator adobe adobe indesign adobe indesign front end ui omnigraffle wordpress,Software Developer,"{2: 0.07692307692307693, 7: 0.5384615384615384, 9: 0.38461538461538464}"
217,Software Developer,7 years us myrsol llc myrtle beach sc 2015 whmcs javascript daily setup dynamic idx coordinate analyze seo web 2011 create wordpress cms 2012 heart strong heart strong daily education associates degree in information systems 2009 skills visual webpack bootstrap additional information skills languages frameworks webpack jquery php bootstrap json platforms tools wordpress adobe creative suite visual web metrix google,Software Developer,"{7: 0.3076923076923077, 9: 0.6923076923076923}"
218,Software Developer,7 years xhtml dom css3 javascript ajax extensive jquery extensive angular mvc backbone strong search pseudo elements javascript event html cross safari firefox google chrome javascript ide eclipse visualstudio ms visio firebug fiddler developer mvvm ajax javascript json jsonp mvc architecture svn great team team quick learner chicago august 2014 present aperture group responsibilities involvement analysis development implementation user interface jquery ajax json angular ui bootstrap web services ajax xml debug firebug nodes dom dom functions ui toolbar firebug ui javascript javascript ajax mvc micro version weekly iterative june 2013 to july 2014 amway amway user interaction json ajax rapid javascript ajax sqa facebook javascript active sql javascript http rich user interfaces photoshop ajax january 2012 may 2013 javascript jquery ajax the website javascript converted psd jquery web jquery ajax json day worked on browser compatibility sqa javascript xhtml javascript environment html5 actavis jersy city april 2011 to december 2011 actavis visio extensive ui css redesign ajax javascript ajax built ajax angular mvc angular framework working bootstrap design sql json javascript develop photoshop created ui web 2 0 adobe photoshop cs3 developed visio photoshop bootstrap india august 2010 to february 2011 registration billing pharmacy and nursing javascript javascript javascript ajax javascript ajax sql dom xml performed daily sql 07 ms office ui developer icici bank ltd june 2008 to july 2010 javascript javascript jquery javascript jquery jquery ajax fixed cross ie9 safari chrome and firefox xml xslt json jquery ajax environment html nagpur maharashtra skills bootstrap grunt bower node 7 years javascript ajax 6 years visio photoshop bootstrap 6 years sql 07 ms office 5 years 7 years xhtml css2 css3 javascript ajax json bootstrap dom ide 3 firebug windows movie maker,Software Developer,"{7: 0.8461538461538461, 9: 0.15384615384615385}"
219,Software Developer,8 years java adobe cq cms j2ee content management system adobe cq 0 jsp adobe cq cq aem crx cq wcm crxde crxde lite template development component development publish cms aem cq implemented adobe cq meta cms java content repository adobe cq experience ajax jquery javascript agile methodology aem cq5 apachemaven eclipse adobe user ldap apache unix linux javascript linux linux configure dispatcher java ide eclipse netbeans databases oracle sql sql queries self finder side replication agents dispatcher jcr sling scheduler dam crxdelite december 2018 apache aem application adobe dispatcher 2 0 performance implementing adobe adobe platform response thread proactively monitoring publish environments ootb supported apache solr configuration adobe cab adobe cq5 adobe cq5 automatic user ldap grabbit vault prod uat acs aem 6 3 apache unix linux ldap dispatcher linux configure dispatcher aem cq5 adobe cq5 team environment adobe cq 6 3 6 4 java wcm jcr connector svn apache solr sr thomson reuters eagan december 2017 to november 2018 aem content management tool thomsonreuters ecomm 2 week design development delivery responsibilities involved in sprint planning development component every 2 weeks cq workflow integrating cq development js seo apache seo google analytics opengraph fixed eclipse multi site msm osgi services components participated development qa stage environment java jsp jira adobe developer capital group irvine ca 2017 the learning portal project learning aem content management tool design development delivery daily 2week sprint planning development component every 2 weeks scrum agile methodology search lucene apache sightly cq5 apache built osgi dam dam jira bitbucket git svn automated test execution jsp july 2016 to february 2017 daily cq5 responsibilities installing author publishing instances gathering adobe wcm dam adobe cq post get configuring dispatcher servlets aem sightly sdlc requirements implementation design and testing worked jira bitbucket git svn automated test execution jsp 6 1 apache june 2014 to june 2016 aem 6 workflow integrating cq development eclipse osgi osgi services cq5 environment java jsp infotech hyderabad january 2011 to april 2013 javascript handled jquery xhtml jquery ajax json performed xml transformations xml xml design sacred heart university ct 2014 bachelors in electronics 2009 xhtml ajax json php technologies servlets jcr xml dom sql sql web debugger,Software Developer,"{1: 0.07692307692307693, 2: 0.15384615384615385, 4: 0.07692307692307693, 6: 0.07692307692307693, 7: 0.5384615384615384, 9: 0.07692307692307693}"
220,Software Developer,5 plus years visual studio us november 2017 asdal amazon role ux ui integration front end development technologies javascript alliance golden february 2011 to february 2019 web development alliance va updated updated co founder developer heliq minneapolis july 2013 to november 2018 the web heliq golden valley summer of 2018 role management developer project management technologies microsoft computer science university of minnesota december 2014 to august 2017 north hennepin community brooklyn park mn january 2011 to december 2013 3 years angular 2 years 7 years 7 years 5 years github 5 years 5 years apple 6 years 8 years 6 years 10 years 4 years windows os 10 years 7 years 4 years 5 years,Software Developer,"{2: 0.07692307692307693, 7: 0.5384615384615384, 9: 0.38461538461538464}"
221,Software Developer,independent contractor independent contractor independent january 2014 underscores wordpress integrate bootstrap aos scrollify manually acf pro cross third gravity forms woocommerce wordfence yoast seo coordinate seo coordinate qc solutions bootstrap aos scrollify create acf pro custom home page ricardo m website design wordpress bootstrap aos create acf home page maly associates website design wordpress bootstrap create acf home page fall creek internal medicine acf pro custom al awda website design wordpress bootstrap create acf pro independent contractor drive shops february 2013 present monrovia ca glendale ca february 2013 photoshop cms skin photoshop net select design independent contractor visual edge design clearwater fl march 2014 to august 2015 february 2012 to october 2012 house dreamweaver ie7 9 safari wrote seo dreamweaver asp monthly php ajax javascript set asp php seo design examples april 2006 to october 2006 house april 2004 to april 2005 house adobe fireworks dreamweaver adobe fireworks search engine optimized seo education french bootstrap php cms optimization front end integration wordpress woocommerce copywriting adobe indesign adobe cms adobe photoshop adobe dreamweaver adobe indesign adobe illustrator advanced custom,Software Developer,"{7: 0.38461538461538464, 8: 0.07692307692307693, 9: 0.5384615384615384}"
222,Security Analyst,tech global solutions columbia database administrator oracle series 12c awr addm ash backup review fisma database experienced oracle sql quarterly oracle enterprise oem applications oracle recovery march 2016 va fisma weekly ato reviews security controls validate update the department of va standard operating procedures sop sa performs security test and evaluation st ids ips security assessment report poam review september 2014 to march 2016 12c performed oracle quarterly rman creates the optimal flexible architecture sga oracle rman loaded sql data daily performed oracle sql awr ash addm administered oracle created daily oracle created june 2013 to august 2014 monthly computer science university of science and technology,Security Analyst,"{1: 0.23076923076923078, 3: 0.07692307692307693, 6: 0.46153846153846156, 8: 0.23076923076923078}"
223,Security Analyst,security operation center soc analyst security operation center soc analyst security operation center 2017 splunk express cisco sourcefire analyze firewalls nids sys logs standard operating procedures siem compose develop assist operational support database administrator march 2015 to march 2018 applications client identified serve third third application weekend client s application the enterprise command center provide client the application maintainers monitored day education bachelor wireshark security 2015,Security Analyst,"{4: 0.07692307692307693, 6: 0.8461538461538461, 8: 0.07692307692307693}"
224,Security Analyst,april 2017 nist assist poa m s provide department issos system owners fisma nist security assessment and authorization prepare security assessment and authorization sa s assist system owners isso r4 provide isso isa create security assessment and authorization sa fips 199 system july 2014 to march 2017 updated system security plan risk assessment privacy impact analysis st e information system created reviewed security assessment and authorization sa ssp ra e authentication st e contingency plan isso 53 r4 database administrator pyramid february 2013 to june 2014 rman applied sql daily backups education mba university of maryland adelphi md july 2019 business administration university of lagos lagos ng october 2000 nessus remedy peoplesoft,Security Analyst,"{3: 0.07692307692307693, 6: 0.9230769230769231}"
225,Security Analyst,january 2017 iso27001 iso super administrator vpn iso27001 propagation of ip dns mx spf organization s servers implement ssl sop provide daily weekly monthly help desk database security administrator creative associates international usaid june 2015 to october 2015 develop ensure february 2012 to february 2014 technical support analyst united bank limited october 2007 to december 2011 core banking the organization systems administration of windows servers linux oracle servers implementation of security database and application level implementation of corn jobs configuration of windows terminal thin computer science university of karachi,Security Analyst,"{1: 0.07692307692307693, 6: 0.8461538461538461, 8: 0.07692307692307693}"
226,Security Analyst,administrator protech inc 7 years fisma us january 2013 may 2012 fisma 6 months 3rd party security facilities audit assist oversee information security information security drive assess information technology recommend develop qa application security the software development life cycle prepare security assessment and authorization sa database administrator 2013 to 2019 sql 2013 2019 sql 15 years db db aptitude micro economics econometrics medical technician american board of nursing it excellence microsoft cap cyber security sql 12c oracle database administration,Security Analyst,"{1: 0.07692307692307693, 6: 0.8461538461538461, 8: 0.07692307692307693}"
227,Security Analyst,january 2019 soc analyze june 2016 to december 2018 oracle bi developer central bank january 2014 to february 2016 august 2012 to december 2013 education bachelor in information technology and systems engineering azerbaijan virginia international university fairfax va skills tcp tcp ip vmware networking android anyrun virustotal phishing analysis threat analysis security onion vulnerability management sql css javascript android studio vmware active directory languages fluent english russian turkish sql odi etl security,Security Analyst,"{3: 0.15384615384615385, 6: 0.8461538461538461}"
228,Security Analyst,middle tennessee electric corporation october 2017 ensure appropriate use knowb4 perform pci card data environment perform endpoint protection data loss prevention incident response plan and procedures scada third virus assessment using nist 800 37 continuous monitoring cyber security analyst defense logistics agency philadelphia pa march 2015 to october 2017 the plan of actions and milestones poa m develop information security system policies system security ssp security nist fisma omb nist perform pci ato sar for information wsus scan virustotal cyber security analyst adp chicago april 2014 to march 2015 nessus vulnerability scanner nmap the oracle e business suite ebs peoplesoft the information system security rmf ssp cp collected performed security sca database administrator minneapolis june 2010 to march 2014 oracle 10 11g 12c convert container 12c the oracle e business suite ebs peoplesoft tde db vault education university of maryland skills 12c ebs mcafee policy arcsight redhat debian kali linux windows bash korn assembly,Security Analyst,"{6: 0.9230769230769231, 8: 0.07692307692307693}"
229,Security Analyst,laurel md us april 2014 ssp security management operational and technical controls for the organization advise government service units and system owners the organization s it security directives security control assessor on general support systems applications and systems create ato ssp sar poam create system security authorizing official s briefing report federal information system appendix iii update reviewed fips 199 contingency nist ato maryland june 2012 to march 2014 modify organization s security policies standards processes and procedures formulate perform the assessment general support systems applications and systems perform security assessments create ato ssp security control assessor isso database administrator maryland department of corrections jessup md january 2010 to march 2011 linux troubleshoot oracle oracle created oracle sql updates records of inmates intakes releases in the database track inmates the shift commandant maryland prison department of corrections daily inmates to selected drug programs security analyst education bsc computer network security computer network security university of maryland university college baltimore baltimore 2016 social science 1998 to 2001 skills analysis information systems develop system security plan nist special publication guidelines implement network system security authentication 4 years 4 years 4 years sharepoint microsoft office active directory sql four years nist 53 53a,Security Analyst,"{3: 0.15384615384615385, 6: 0.7692307692307693, 8: 0.07692307692307693}"
230,Security Analyst,security analyst it security analyst june 2016 present monitoring federal information system modernization act fisma hitrust hipaa nist iso2700 coso cobit fips 199 working with plan of action and milestones poa ms isso sar ssp system security perform designate nist sp 800 federal information system appendix iii it security analyst anchorage consulting llc august 2013 to january 2016 fisma prepare nist maintained third configuration the plan of action and milestones poa ms made maintained analysis pta privacy impact analysis pia information system security officers system owners information owners the privacy act officer developed administrator chaveran inc may 2011 may 2013 oracle 10 chaveran inc oracle windows ofa setup rman used windows scheduler third setup 10g created network and system administration assisted senior dba s help state farm insurance september 2009 to april 2010 monthly microsoft office suite interacted answered education international relations and strategic studies university of lagos bowie md bachelors cybersecurity university of maryland university college adelphi vmware additional information skills,Security Analyst,"{6: 0.8461538461538461, 8: 0.15384615384615385}"
231,Security Analyst,8 years 5 years cyber security publications rmf fisma csam us march 2017 nist c a perform assessment and authorization a a ssp pia sra review system security ssp nist sp 800 privacy impart assessment involved information security assurance washington dc november 2015 to march 2017 fisma annual testing poa m management assist performs analyze fipps 199 pta pia sar ssp sap august 2014 to november 2015 document admin schedule setup lan wireless database administrator february 2011 to january 2014 oracle oracle configuration used incremental dbms database management system created data manage redo rman rman education m sc skills security sql rmf working the nist publications 37 39 53 53a rmf fisma aircrack nikto openvas assessments poa m ato firewalls virtual working database web develop a the oracle database proficient pl sql the datapump and import export,Security Analyst,"{1: 0.07692307692307693, 6: 0.9230769230769231}"
232,Security Analyst,cyber privacy cyber privacy us september 2018 microsoft office programs security analyst analytical data analytics familiar healthcare march 2018 to september 2018 sugar completing troubleshooting installing windows superior microsoft g suite encrypting filezilla troubleshooting wawa holiday fl december 2012 to april 2018 develop supervise mcdonald s tarpon springs fl march 2012 may 2012 retail associate fye november 2011 to january 2012 keyholder june 2011 to august 2011 handled may 2010 august 2011 keyholder volunteer and community service education associate cybersecurity st petersburg college august 2019 august 2018 to july 2019 criminology university of tampa december tarpon springs high school 2012 skills customer service 5 years microsoft 5 years 5 years microsoft excel 1 year 1 year,Security Analyst,"{3: 0.07692307692307693, 4: 0.07692307692307693, 6: 0.8461538461538461}"
233,Security Analyst,middle tennessee membership electric corporation indianapolis in work experience middle tennessee membership electric corporation october to present act gather use tenable security center nessus perform risk assessment third virus develop a business continuity plan ssp security nist fisma iii perform users knowb4 used rapid7insightivr siem pci endpoint protection data loss prevention incident response plan and procedures scada philadelphia pa march 2015 to october 2017 the plan of actions and milestones poa m develop information security system policies system security ssp security nist fisma omb nist security continuous monitoring perform pci ato sar for information wsus scan virustotal cyber security analyst adp chicago april 2014 to march 2015 nessus vulnerability scanner nmap the oracle e business suite ebs peoplesoft the information system security rmf ssp cp collected performed security sca database administrator minneapolis june 2010 to march 2014 oracle 10 11g 12c convert container 12c the oracle e business suite ebs peoplesoft tde db vault education,Security Analyst,"{6: 0.9230769230769231, 8: 0.07692307692307693}"
